url,malicious
http://www.facebook-log1in.com/,1
http://getir.net/yg4t,1
http://crosscitydental.com/,0
http://www.tenttrails.com/jscripts/product.js,0
http://103.224.193.105/,0
http://www.utopiapalmsandcycads.com/images/caryotagigas_002.JPG,0
http://www.nephilimmerch.com/,0
http://santostefano.sextantio.it/wp-content/plugins/gk-tabs/gk-tabs.js?ver=4.4.2,0
http://support.itum.no/,0
http://www.401autosales.com/WebResource.axd?d=LaYm4CZKcnIDQYMkR52y_yskLob_6g_mg5SJGKKCY3oAF5oFh_WJcGeuiLM3uZYGhrQaKTQzE84_sPPnVJVimRy9h1c1&t=635792775765829480,0
http://168.1.121.142/,0
http://flightslondonjapan.airlineticketslyx.com/,0
http://greattrips.info/wp-content/plugins/responsive-lightbox/js/front.js?ver=1.6.7,0
http://serveourcity.com/soc/wp-includes/js/jquery/ui/core.min.js?ver=1.11.2,0
http://fidarab.com/project/dwgdoc/101f99f81424d40931f91e87688b1d3e/,1
http://steamcommuneity.com/,1
http://cf-2015.kinzaa.com/fonts/Gotham-Book.ttf,0
http://zevrix.com/BatchOutputOffice.dmg,0
http://orvalli.rabbitmake.ru/nethost.exe?etag=b3ce473840120cdfe912bb2a9bd88dce,1
http://fanne-server.be/,0
http://zvirata.zdarmainzeraty.cz/nahlasit-chybny-inzerat/22794/don-sphynx-kotata-s-pp.html,0
http://olioiannotta.it/,0
http://askwalkintubok.live/,0
http://www.tamtamdesbaronnies.com/2006/images06/Versaveau5.JPG,0
http://41.79.4.200/home/bank/index.html,1
http://source.qunarzz.com/,0
http://raadgostar.com/dropbox/index.php,1
http://107sbtd9cbhsbtd5d80a13c0db1f546757jnq9j5754675768544694.bodydesign.com.au/JhNjHuYuHjNbNhJ/index.php,1
http://www.lagou.com/nearBy/preview.html?deliverId=891914063457669120&,0
http://android.downloadatoz.com/,0
http://www.koegeflyt.dk/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.0,0
http://200.24.17.68:8080/jspui/bitstream/123456789/591/1/AA0288.pdf,0
http://www.starlit-group.com/js/main.js?v=2.0,0
http://electronistore.com.ar/1/smwr/index.html,1
http://www.acutruss.com/js/prototype.js,0
http://sweetsoseibo.blog.so-net.ne.jp/,0
http://www.renovocoatings.com/htm/Products/main.htm,0
http://www.kidsfurnitures.org/page.php?www573b6541cbdc12.14820558,0
http://miskahuszar.hu/wp-includes/js/wp-emoji-release.min.js?ver=4.5.2,0
http://hfdj.agridoor.com.cn/docs/maven-jars.html,0
http://casaletdelaclua.info/,0
http://www.theyellowbarn.net/yrm280r4ype840d9gdlka01ecv82nj,0
http://api.definition.org/wotd/,0
http://www.william911.com/Scripts/swfobject_modified.js,0
https://www.required-notification.com/home/shop/567ed/clients/?7777772e72657175697265642d6e6f74696669636174696f6e2e636f6d,1
http://www.aldeiaparatii.com.br/prototype.js,0
http://www.latestviralspot.com/feeds/posts/summary/?callback=jQuery182009603890543803573_1463781090301&category=health&max-results=5&alt=json-in-script,0
http://real4x4forums.com/PinzgauerBBS/index.php,0
http://www.battleroadtc.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=7824142c644fe331500e2a3a71b30caa,0
http://greenplastindustries.com/cgi/log.php,1
http://0cqsd.voluumtrk.com/8d352ada-ba38-4ae4-a3af-e0454273ec08,0
http://orange-sabaijai.exteen.com/20111101/sketch-odopod,0
http://api.dev.pm.s-mind.de/,0
http://107sbtd9cbhsbtd5d80a13c0db1f546757jnq9j5754675737617256.bodydesign.com.au/JhNjHuYuHjNbNhJ/index.php,1
http://helpos.ga/1799/win/c/your-computer-is-locked-call-us-at-tollfreenow--1-800-774-1799-your-computer-is-locked-call-us-at-tollfreenow--1-800-774-1799,1
http://thzxvr.net/c1,0
http://www.comicalaccessories.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=2.5.5,0
http://www.willsgolfcars.com/,0
http://glowwatertown.com/site-content/themes/tanning/js1/jquery.min.js,0
http://www.nittel.co.uk/,0
http://www.infomarkt.es/mod_pagespeed_beacon?url=http%3A%2F%2Fwww.infomarkt.es%2F,0
http://newre-conversions.clickmeter.com/redirect?id=enT7r2H2sDpaJ4t8M7pJSjLEhbn4FGDQWxNxt1yqZt6jjgy2RdvNVyevyxq9dPzuQfFFWiY2ceFH6hnuJWrjwZMoUqacLeq6BesUm4GtbzeRLd1DGAJz2T9Hj174PLZGhAzP8wsuh3Jfrx25dNmEHBm1AGyCaC4J7KYTP2nxB4kxtwgKCrLbW6dR8bts6GXAokRGJypEJBnBkq1BjWiyoXzs94BV2id7Z652pxF83UB5pj1aYbUshFugZ7nFa4bXTVUUtb,0
http://getgold.jp/,0
http://femidaneo.ru/web/mpp/update/websc-carding.php,1
http://www.tanakashinya.com/tanki/analyze/taizai.cgi?jikan=120&PageNo=1,0
http://gantt.firemanager.de/,0
http://app.booknode.com/,0
http://stair.stanford.edu/index.php,0
http://www.reitschule-waldeckhof.de/reitschule/preise/,0
http://erada.e-monsite.com/themes/combined.js,0
http://static1.lainformacion.com/static/BB3HTML/js/lainformacion.min.js?hash=16d3fab7f3a2bf10c83ffdb038f606b6,0
http://youngrefugeecause.nl/,0
http://www.aloftaeroarchitects.com/sites/default/files/advagg_js/js__NGc_9Z_EAgc5tatHwomPm8FLOdl1CynjQ7yyahGW2Po__hdlzvd9kf89oFLMnrMT5ppPf0bM9I7EZ1ESbPqzPFrE__fYYnc1BUamJGoQVRxjyrqBeFHq_R7-NE6EpT4PGh_dU.js,0
http://ostonia.judge-nobody.ru/nethost.exe?etag=978bf5592554b6ae55cccb05262c1bf5,1
http://www.mabanyedris.com/wp-includes/js/jquery/jquery.js?ver=1.11.3,0
http://images.navy.gov.au/fotoweb/_static/js/libs/jquery-1.8.3.js,0
http://giotakiscups.gr/,0
http://www.verdeco.be/,0
http://00694.net/shxw/6.html,1
http://troublepcsolution.blogspot.com/2013/05/samsung-default-id-and-sws-password.html,0
http://www.epicorderoftheseven.net/_api/dynamicmodel,0
http://www.westfieldpsych.com/js/Raleigh_Md_BT_400.font.js,0
http://www.3-ci.com/,0
http://csm-e-eur3aws-547.cds1.yospace.com/,0
http://www.remedypilates.ie/wp-content/plugins/photo-gallery/js/bwg_gallery_box.js?ver=1.2.86,0
http://mensjournal.disqus.com/embed.js,0
http://boubous-in-nola-2012.overblog.com/2015/11/red-dress-run-course-des-robes-rouges.html,0
http://www.unusualsuspects.uk.com/,0
http://cairoresidence.com/theme/plugins/owl.carousel.2/owl.carousel.min.js,0
http://ertongv.com/ddz/zl/117.html,1
http://adhibinakomputer.com/wp-includes/Gdocument/4764a8a5aef07d281086b2b1723c9713/main.html,1
http://sorbyadamswines.crudev.io/,0
http://oryginalneobuwie.com/js/mage/translate.js,0
http://www.uctranslation.com/media/system/images/vs/files/login.php,1
https://hinterlandweb.wordpress.com/tag/www-casertace-net/,0
http://www.bosgoed.com/sites/default/files/js/js_UWQINlriydSoeSiGQxToOUdv493zEa7dpsXC1OtYlZU.js,0
http://suavium.com/lojateste/js/wellsfargo.Gucci/,1
http://athawes.co.uk/wp-content/plugins/ml-slider/assets/sliders/nivoslider/jquery.nivo.slider.pack.js?ver=3.3.5,0
http://www.oidemase.or.jp/about-yamaguchi/tourism/nature/,0
http://www.mcjsegprontaresposta.com.br/jsj/Arch/Arch/Archive/index.php,1
http://nfkeyrt1bj.s.ad6media.fr/?d=1464266656542&r=http%3A%2F%2Fwww.thevibe.fr%2Farticle%2F15-choses-absolument-faire-avant-25-ans%2F10015%3Futm_source%3Dfk%26utm_medium%3Dpagetbs,0
http://www.kadiran.ir/index.php?do=stpage,0
http://somalidatingspot.com/ow_static/plugins/google_map_location/js/jquery.migrate.js,0
http://www.orosolidochocolateria.com/GothamLight.ttf,0
http://www.pharmavista.ch/Images/Generic/BD/H02AB06.html,0
http://caffebaroni.com/,0
http://aoihc.com/,0
http://www.cancer.lu/fr/photos,0
http://new.shop-terdet.ru/,0
http://platformatunionstationresidents.buildinglink.com/v2/Global/Image.ashx?ImageId=27774&Type=ProviderLogoSmall&nio=ProviderLogoSmall&digest=vKkJ7erwv+OGGrr3xkNyfw,0
http://www.jgsbbdiner.com/Menu.htm,0
http://syman.github.io/cloud/2013/04/26/openstack03/,0
http://hiru.mm.to/,0
http://dulichonline.info/nhung-dia-diem-du-lich-dak-lak-noi-tieng.html,0
https://samisto.com/cele/Excel/excel.php,1
http://www.truemadefoods.com/,0
http://librarycatalogue.insead.edu/opac-tmpl/bootstrap/lib/jquery/jquery-ui.js,0
http://xando.at/,0
http://anazingboody.me/she-found-naked-videos-of-her-teenage-babysitter-on-her-laptop-that-s-when-it-hit-her-1?page=3&v=a8q4elAlc4v3OKg4lzhoGIXv1AKRa20fO4E1iSD,0
http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1063501234,0
http://m.facebook.com-----------step1-----finish.ngoscout.com/sign_in.html?statusid=47502a01db90aff045c1d24498738e4b,1
http://www.kirmich.com/node_modules/masonry-layout/dist/masonry.pkgd.min.js,0
http://kvinc.co.za/slim/adobefile/pdfadb/ok/,1
